iter	Logloss
0	0.6835786511
1	0.6782128781
2	0.671148634
3	0.6663792986
4	0.6611918754
5	0.6567373531
6	0.6495690698
7	0.6444574778
8	0.6403020462
9	0.6368043994
10	0.6330899711
11	0.627030984
12	0.6236896733
13	0.6207987998
14	0.6160166045
15	0.6134395451
16	0.6110040792
17	0.6084055939
18	0.6049078691
19	0.600799276
20	0.5990588212
21	0.5968659122
22	0.5939812414
23	0.59019386
24	0.5883376256
25	0.5869089256
26	0.5854505553
27	0.5839331114
28	0.5816610721
29	0.5804866435
30	0.5783700385
31	0.5769197899
32	0.5757854405
33	0.5736968947
34	0.5726634163
35	0.5708742203
36	0.5697520705
37	0.5689186858
38	0.5679437632
39	0.566972479
40	0.5660387541
41	0.5653545004
42	0.5634412128
43	0.5616919106
44	0.5609398223
45	0.5604048957
46	0.5597051851
47	0.5570754587
48	0.5566245615
49	0.5541839024
50	0.5524758583
51	0.5517997968
52	0.5513525274
53	0.5495240945
54	0.5490540619
55	0.5482612668
56	0.5475360171
57	0.5466605164
58	0.5462847585
59	0.5459260164
60	0.5456375264
61	0.5448275026
62	0.5446150404
63	0.5434734664
64	0.5428482319
65	0.5419060449
66	0.5417294705
67	0.5413413419
68	0.5407151958
69	0.5404834271
70	0.5394671096
71	0.5392488135
72	0.5390849398
73	0.5389347633
74	0.5387496544
75	0.5380676841
76	0.5377756645
77	0.537639282
78	0.5374786297
79	0.53707416
80	0.5368056422
81	0.5362435266
82	0.5361475036
83	0.5357902112
84	0.5354512327
85	0.5353608277
86	0.5350591194
87	0.5346938196
88	0.5339691065
89	0.5338650184
90	0.5337713518
91	0.5334817601
92	0.5332536471
93	0.5331780762
94	0.5331304352
95	0.5330532206
96	0.5326950893
97	0.5323441101
98	0.5320210215
99	0.5318082991
100	0.5317213629
101	0.531683216
102	0.5316065849
103	0.5315480248
104	0.5314746901
105	0.5312770319
106	0.5312353559
107	0.5311693317
108	0.5310799245
109	0.5309365909
110	0.5308202163
111	0.5307744852
112	0.5306890957
113	0.53061594
114	0.5305479317
115	0.530498283
116	0.5302687261
117	0.5302433836
118	0.5302060911
119	0.5300545127
120	0.529835309
121	0.5294475765
122	0.5294186921
123	0.5292308007
124	0.5291982078
125	0.5291671641
126	0.5291272429
127	0.5288358967
128	0.5287932982
129	0.5287581599
130	0.528714952
131	0.5286679163
132	0.5286475951
133	0.5286183208
134	0.528432111
135	0.5283895003
136	0.5283630953
137	0.5283507454
138	0.5283239784
139	0.5280638421
140	0.5280421376
141	0.5280161564
142	0.527994118
143	0.527959868
144	0.5278319639
145	0.527786112
146	0.527741773
147	0.5276929137
148	0.5276560571
149	0.527640694
150	0.5276115179
151	0.5275653829
152	0.5274849406
153	0.5274517096
154	0.5274243877
155	0.5273954108
156	0.5273763058
157	0.527347922
158	0.5273034391
159	0.5272691223
160	0.527198316
